"","Match","Scout_Initials","Team","Starting_Loc","Piece_Holding","SS_rocket_Lev_3_cargo","SS_rocket_Lev_2_cargo","SS_rocket_Lev_1_cargo","SS_rocket_Lev_3_hatch","SS_rocket_Lev_2_hatch","SS_rocket_Lev_1_hatch","SS_total_rocket_hatch","SS_total_rocket_cargo","SS_total_CS_cargo","SS_total_CS_cargo.1","rocket_Lev_3_hatch","rocket_Lev_2_hatch","rocket_Lev_1_hatch","rocket_Lev_3_cargo","rocket_Lev_2_cargo","rocket_Lev_1_cargo","total_rocket_hatch","total_rocket_cargo","total_CS_hatch","total_CS_cargo","Hatch_total","Cargo_total","Feeder_L","Feeder_R","Level_Ended","General_Success","Defensive_Success","Success_v_Defense","Efficient_Placing","Dropped_Pieces"
"1",1,"BH",3929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,NA,NA,NA,1
"2",1,"rt",486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,3,NA,1
"3",1,"VZ",5407,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,1,2,0,3,3,NA,NA,2,0
"4",1,"CM",4454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"5",1,"jt",1791,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"6",1,"ss",2191,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0
"7",2,"BH",1168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,3,0,1,1,4,0,3,0,3,NA,NA,3,1
"8",2,"rr",433,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,1,4,4,0
"9",2,"VZ",4750,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,0,1,2.5,NA,NA,1.5,1
"10",2,"CM",3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,1
"11",2,"jt",4575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1,1,1,1
"12",2,"ss",4638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,3,0,1,2,NA,NA,3,0
"13",3,"BH",1495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,0,1,1,3,NA,NA,2.5,1
"14",3,"AM",272,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,3,2,0
"15",3,"VZ",204,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,NA,2.5,1,1
"16",3,"CM",87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,1
"17",3,"jt",484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,1,1
"18",3,"ss",365,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,1,3,NA,NA,4,1
"19",4,"BH",5113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,0,1,1,NA,NA,NA,NA,1
"20",4,"AM",7110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,2,NA,1
