Match,Pos,Team,Id,Scout Initials,Is Present,Starting Loc,Piece Holding,Crossed Baseline,Activity Type,SS_LR_Hatch_LH,SS_LR_Hatch_LM,SS_LR_Hatch_LL,SS_LR_Cargo_H1,SS_LR_Cargo_H2,SS_LR_Cargo_M1,SS_LR_Cargo_M2,SS_LR_Cargo_L1,SS_LR_Cargo_L2,SS_LR_Hatch_RH,SS_LR_Hatch_RM,SS_LR_Hatch_RL,SS_RR_Hatch_LH,SS_RR_Hatch_LM,SS_RR_Hatch_LL,SS_RR_Cargo_H1,SS_RR_Cargo_H2,SS_RR_Cargo_M1,SS_RR_Cargo_M2,SS_RR_Cargo_L1,SS_RR_Cargo_L2,SS_RR_Hatch_RH,SS_RR_Hatch_RM,SS_RR_Hatch_RL,SS_CS_Cargo_L3,SS_CS_Hatch_L3,SS_CS_Cargo_L2,SS_CS_Hatch_L2,SS_CS_Cargo_L1,SS_CS_Hatch_L1,SS_CS_Cargo_FL,SS_CS_Hatch_FL,SS_CS_Cargo_FR,SS_CS_Hatch_FR,SS_CS_Cargo_R1,SS_CS_Hatch_R1,SS_CS_Cargo_R2,SS_CS_Hatch_R2,SS_CS_Cargo_R3,SS_CS_Hatch_R3,SS_Feeder_L,SS_Feeder_R,LR_Hatch_LH,LR_Hatch_LM,LR_Hatch_LL,LR_Cargo_H1,LR_Cargo_H2,LR_Cargo_M1,LR_Cargo_M2,LR_Cargo_L1,LR_Cargo_L2,LR_Hatch_RH,LR_Hatch_RM,LR_Hatch_RL,RR_Hatch_LH,RR_Hatch_LM,RR_Hatch_LL,RR_Cargo_H1,RR_Cargo_H2,RR_Cargo_M1,RR_Cargo_M2,RR_Cargo_L1,RR_Cargo_L2,RR_Hatch_RH,RR_Hatch_RM,RR_Hatch_RL,CS_Cargo_L3,CS_Hatch_L3,CS_Cargo_L2,CS_Hatch_L2,CS_Cargo_L1,CS_Hatch_L1,CS_Cargo_FL,CS_Hatch_FL,CS_Cargo_FR,CS_Hatch_FR,CS_Cargo_R1,CS_Hatch_R1,CS_Cargo_R2,CS_Hatch_R2,CS_Cargo_R3,CS_Hatch_R3,Feeder_L,Feeder_R,Level Ended,Number Assisted,Assist Method,Assisted By Other,General Success,Defensive Success,Success v Defense,Efficient Placing,Dropped Pieces,Floor Pickup Hatch,Floor Pickup Cargo,Fouls?,Problems?
1,0,6895,6895001,gfd,TRUE,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,1,0,0,TRUE,1.5, ,1,1.5,FALSE,FALSE,FALSE,FALSE,FALSE
1,4,3323,3323001,gas,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,2,0,0,FALSE,4, , , ,TRUE,TRUE,FALSE,FALSE,FALSE
2,3,6328,6328002,ccc,FALSE,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,0,0,FALSE,3, , ,3.5,FALSE,FALSE,TRUE,FALSE,FALSE
3,4,5265,5265003,gas,TRUE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,4,0,0,0,FALSE,3, , ,4,FALSE,FALSE,TRUE,FALSE,FALSE
5,0,4929,4929005,gfd,TRUE,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,1,0,0,TRUE,1.5, ,1,1.5,FALSE,FALSE,FALSE,FALSE,FALSE
5,3,88,88005,ccc,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,2,0,0,FALSE,1.5, , ,2,FALSE,FALSE,TRUE,TRUE,TRUE
5,4,3958,3958005,gas,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,4,0,0,0,FALSE,3, , ,4,FALSE,TRUE,FALSE,FALSE,FALSE
6,0,5633,5633006,gfd,TRUE,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,1,0,0,TRUE,1.5, ,1,1.5,FALSE,FALSE,FALSE,FALSE,FALSE
6,3,7907,7907006,ccc,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,2,0,0,FALSE,1.5, , ,2,FALSE,FALSE,TRUE,TRUE,TRUE
6,4,5902,5902006,gas,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,4,0,0,0,FALSE,3, , ,4,FALSE,TRUE,FALSE,FALSE,FALSE
