Team Number	Match Number	Win orLose	hatchOnRocket	hatchOnCargoship	cargoOnRocket	cargoOnCargoship
1	39	TRUE	8	5	6	4
1	20	TRUE	3	0	0	0
1	37	TRUE	1	2	4	4
1	32	FALSE	5	3	3	1
1	31	FALSE	7	1	7	2
1	29	FALSE	0	1	0	0
2	46	TRUE	7	6	9	5
2	14	TRUE	4	2	2	0
2	29	TRUE	0	0	0	0
2	70	FALSE	4	0	11	4
2	7	FALSE	7	1	1	3
2	48	FALSE	1	3	0	0
3	49	TRUE	8	2	11	6
3	65	TRUE	3	1	0	2
3	48	TRUE	0	4	0	0
3	47	FALSE	4	5	10	5
3	34	FALSE	8	1	0	3
3	65	FALSE	0	1	0	0
4	54	TRUE	8	5	9	3
4	14	TRUE	3	2	0	0
4	71	TRUE	1	1	3	4
4	51	FALSE	6	2	2	4
4	43	FALSE	0	0	7	1
4	23	FALSE	5	2	0	1
5	28	TRUE	12	6	2	2
5	67	TRUE	0	1	5	3
5	13	TRUE	0	1	5	3
5	5	FALSE	11	1	1	7
5	43	FALSE	0	1	0	1
5	51	FALSE	1	5	10	0
6	67	TRUE	1	2	7	0
6	60	TRUE	10	5	4	6
6	46	TRUE	0	0	0	0
6	65	FALSE	7	4	2	4
6	38	FALSE	2	1	10	1
6	34	FALSE	2	3	0	3
7	54	TRUE	10	2	12	2
7	17	TRUE	0	0	0	3
7	2	TRUE	1	1	0	2
7	73	FALSE	3	1	5	8
7	16	FALSE	2	5	7	0
7	49	FALSE	4	1	0	0
8	50	TRUE	4	4	12	4
8	10	TRUE	3	0	0	1
8	10	TRUE	5	2	0	2
8	2	FALSE	9	0	2	6
8	72	FALSE	3	7	1	1
8	70	FALSE	0	0	3	1
9	5	TRUE	2	3	10	5
9	37	TRUE	10	4	1	2
9	27	TRUE	0	1	0	0
9	47	FALSE	8	8	1	5
9	27	FALSE	0	0	0	0
9	23	FALSE	2	0	1	0
10	80	TRUE	6	8	0	3
10	21	TRUE	3	0	9	4
10	7	TRUE	3	0	3	0
10	50	FALSE	8	6	9	0
10	40	FALSE	0	2	0	8
10	17	FALSE	2	0	0	0
11	25	TRUE	5	7	12	8
11	35	TRUE	0	1	0	0
11	20	TRUE	6	0	0	0
11	53	FALSE	5	2	2	5
11	44	FALSE	0	6	5	0
11	6	FALSE	2	0	0	0
12	55	TRUE	3	6	5	3
12	54	TRUE	7	0	3	2
12	35	TRUE	2	0	1	1
12	66	FALSE	0	2	7	6
12	10	FALSE	9	2	4	0
12	10	FALSE	2	3	0	2
13	29	TRUE	5	0	0	1
13	9	TRUE	7	2	7	2
13	64	TRUE	0	0	2	0
13	28	FALSE	4	5	2	0
13	7	FALSE	6	3	5	8
13	69	FALSE	2	0	2	0
14	3	TRUE	9	8	9	0
14	78	TRUE	3	0	1	7
14	58	TRUE	0	0	1	1
14	24	FALSE	4	4	2	1
14	70	FALSE	7	2	9	2
14	32	FALSE	0	1	1	5
15	58	TRUE	3	0	5	2
15	51	TRUE	2	6	6	5
15	45	TRUE	5	0	1	0
15	6	FALSE	9	6	1	6
15	45	FALSE	1	2	4	2
15	43	FALSE	0	0	7	0
16	75	TRUE	2	7	0	7
16	21	TRUE	6	0	2	1
16	46	TRUE	4	1	10	0
16	64	FALSE	9	4	9	7
16	55	FALSE	1	0	3	0
16	16	FALSE	2	4	0	0
17	4	TRUE	12	0	8	5
17	69	TRUE	0	7	3	1
17	10	TRUE	0	1	1	1
17	27	FALSE	12	7	3	4
